609,2021-05-16,"The reason against raising capital gains taxes is because the basis is not adjusted for inflation.<p>&quot;If you bought an asset for $10,000 in 2000, for example, the BLS says you spent $15,700 in today&#x27;s mini-dollars; if you sell it for $15,000 in 2021 you&#x27;ve actually suffered a loss, but will owe capital gains tax nonetheless&quot; <a href=""https:&#x2F;&#x2F;philip.greenspun.com&#x2F;blog&#x2F;2021&#x2F;04&#x2F;29&#x2F;economic-wisdom-from-mit-david-autor&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;philip.greenspun.com&#x2F;blog&#x2F;2021&#x2F;04&#x2F;29&#x2F;economic-wisdom...</a>",finance,finance,finance
613,2021-05-16,"If someone says they get overwhelmed by something, chances are decent there is something overwhelming about it.<p>Web is a large domain of knowledge. It isn&#x27;t particularly hard in terms of math, algorithms or mysterious unknown proprietary APIs. But there is a lot to figure out. What parts are important, what parts can I skip.<p>If by basics you mean HTML, CSS and JS. Sure. Good start.
But you could also start with a framework and learn from the middle and out or the top down.<p>Not everything has to be learned bottom up.<p>Either way. It is not trivial.",web/mobile,web/mobile,web/mobile
882,2021-05-16,"That’s nothing like Jinja, it’s more like React. I just want text templating and not a virtual dom and I don’t want to build my HTML in Nim.",web/mobile,job/career,web/mobile
1704,2021-05-17,"The best task tracking system I&#x27;ve worked with is one that I created in about 30 minutes of thinking through the business domain and then wiring up a blank Airtable base to represent what I needed to know. With kanban, gantt, and table views, it&#x27;s all I need. Plus, the API is easy to use so I can pull the data down when needed. All of the other systems seem to be 80% solutions and I end up getting really irritated by the 20% they don&#x27;t cover.",web/mobile,finance,AI/Data Science
854,2021-05-16,"The Birth &amp; Death of JavaScript<p><a href=""https:&#x2F;&#x2F;www.destroyallsoftware.com&#x2F;talks&#x2F;the-birth-and-death-of-javascript"" rel=""nofollow"">https:&#x2F;&#x2F;www.destroyallsoftware.com&#x2F;talks&#x2F;the-birth-and-death...</a>",general,web/mobile,web/mobile
855,2021-05-16,"The thing is, what if you leveraged the &quot;cloud&quot; of people, to build a p2p instagram cache&#x2F;clone perhaps on IPFS or some other p2p store or mesh, where the seeders are people with IG accounts who are logged in, and that living network of people then can feed out data to overyone else logging in to the &quot;rebel front-end&quot;. That would be cool. It seems that kind of thing would be unshut-downable and with enough seeders, unstoppable and complete.",devops/OS,general,devops/OS
900,2021-05-16,Tesla is “driver assist”,AI/Data Science,general,AI/Data Science
1113,2021-05-16,Such an oversimplified analysis. What does &quot;higher taxes&quot; mean? Higher for everyone or a progressive tax scheme? What about inheritance tax? Or taxing financial operations? This person clearly does not understand much about how complex taxes can be.,finance,finance,finance
1105,2021-05-16,"If not using C++ with Qt, Qt is a bit harder to get going. But I honestly dont think that building a UI with JS&#x2F;HTML&#x2F;CSS is easier than in C++&#x2F;Qt.<p>But then the Qt UI:<p>* needs to be (re)compiled for each platform<p>* needs to be re-shipped on each change<p>* is not a client-server application (all runs on the client)<p>* has &quot;desktop styling&quot; by default",web/mobile,general,web/mobile
1183,2021-05-16,"Absolutely not true. Windows forms, WPF, JavaFX, Swing all are much more productive than the vanilla web. Like, how many lines of code does the most basic vbox&#x2F;hbox thing requires in web technology? Many of them even have dragndrop ui creations, and this XML hatred is downright stupid at this point. How about criticizing the technology and not a random medium for that? Is writing something stupid in JSON inherently better?<p>HTML is simply a terrible GUI base, JS is quite great nowadays and CSS would be great, but has to provide way too much of what HTML should be doing. But the web ui frameworks are just barely getting at the level of where native frameworks have been in a decade.",web/mobile,finance,web/mobile
1184,2021-05-16,"I pay for GFN because my main device is Linux, so if a game can&#x27;t be run locally via Wine&#x2F;Proton I can just play it on the cloud. My existing games library is decent so it makes far more sense to play my Steam games here than pay for a different subscription.",devops/OS,devops/OS,devops/OS
1298,2021-05-16,"&gt; &quot;new deal reduced&quot; and didn&#x27;t remove. Inequality has grown steadily with a wider range of &quot;all boats rise unequally&quot;.<p>Here is the first line of the comment you are responding to:<p>&gt; You can&#x27;t eliminate inequality but you can reduce it. We can&#x27;t eliminate disease but there is still medicine.<p>That was the important part. Making things better is desirable even if you can&#x27;t make them perfect.<p>Inequality has indeed grown steadily. This is not because of FDR&#x27;s programs, though, but because of measures taken since and other events: reducing marginal tax rates, reducing inheritance taxes, the weakening of the labor movement, globalization, and so forth. Also, incidentally, by asserting this you are contradicting your own previous assertion that nothing anyone has ever done has had an effect on inequality.",finance,general,finance
1435,2021-05-17,I worked at a company where Monday was the main interface between the back-office and the B2B clients we serviced.<p>That was about as bad as you can expect.,job/career,web/mobile,job/career
